timestamp,temperature_c,ph,conductivity_ms,turbidity_ntu,uv_absorption,flow_rate_lmin,is_anomaly
2017-07-22 08:07:00,7.21,8.53471,0.0215543,0.127367,3.78886,60.8154,0
2017-07-22 08:08:00,7.2,8.53839,0.0215569,0.127914,3.77905,59.3765,0
2017-07-22 08:09:00,7.21,8.53655,0.0215582,0.12934,3.78032,60.8877,0
2017-07-22 08:10:00,7.2,8.53839,0.0215591,0.128341,3.79247,60.8588,0
2017-07-22 08:11:00,7.21,8.53839,0.0215623,0.128219,3.79362,60.6138,0
2017-07-22 08:12:00,7.21,8.53839,0.0215619,0.128268,3.78996,59.5561,0
2017-07-22 08:13:00,7.2,8.53655,0.0215734,0.127255,3.77535,59.5007,0
2017-07-22 08:14:00,7.21,8.53655,0.0215728,0.127388,3.79423,60.6138,0
2017-07-22 08:15:00,7.22,8.53839,0.021576,0.128735,3.78931,60.5851,0
2017-07-22 08:16:00,7.23,8.53839,0.0215774,0.128516,3.7924,59.4316,0
2017-07-22 08:17:00,7.23,8.54024,0.0215842,0.128478,3.78454,59.3627,0
2017-07-22 08:18:00,7.23,8.54024,0.021589,0.128302,3.78674,60.3565,0
2017-07-22 08:19:00,7.22,8.53839,0.0215877,0.129239,3.79301,60.9893,0
2017-07-22 08:20:00,7.23,8.53839,0.0215827,0.127886,3.78549,60.6138,0
2017-07-22 08:21:00,7.23,8.53839,0.0215797,0.12784,3.77493,60.6569,0
2017-07-22 08:22:00,7.23,8.54024,0.0215838,0.127701,3.78829,60.2996,0
2017-07-22 08:23:00,7.24,8.54024,0.0215907,0.12778,3.78248,61.0184,0
2017-07-22 08:24:00,7.23,8.54024,0.0215878,0.127859,3.78625,60.2287,0
2017-07-22 08:25:00,7.23,8.54208,0.021596,0.12787,3.79257,60.7288,0
2017-07-22 08:26:00,7.23,8.54024,0.0215953,0.127819,3.79222,60.6856,0
2017-07-22 08:27:00,7.23,8.54024,0.021602,0.127328,3.78523,60.1579,0
2017-07-22 08:28:00,7.23,8.54024,0.0216044,0.127455,3.79192,60.9167,0
2017-07-22 08:29:00,7.24,8.54024,0.0216085,0.127504,3.7878,60.5564,0
2017-07-22 08:30:00,7.24,8.54024,0.0216078,0.127642,3.78985,60.2996,0
